provincia,abitanti_provincia
Torino,2259523
Vercelli,170911
Novara,369018
Cuneo,587098
Asti,214638
Alessandria,421284
Biella,175585
Verbano-Cusio-Ossola,158349
Aosta,125666
Imperia,213840
Savona,276064
Genova,841180
La Spezia,219556
Varese,
Como,
Sondrio,
Milano,
Bergamo,
Brescia,
Pavia,
Cremona,
Mantova
